  r          G(r)    dr      dG(r)
  3.130     -4.296   0.0     8.6759
  3.140     -4.645   0.0     8.6187
  3.150     -4.970   0.0     8.5464
  3.160     -5.236   0.0     8.5021
  3.170     -5.415   0.0     8.5122
  3.180     -5.485   0.0     8.5690
  3.190     -5.437   0.0     8.6367
  3.200     -5.275   0.0     8.6735
  3.210     -5.019   0.0     8.6570
  3.220     -4.700   0.0     8.5960
  3.230     -4.360   0.0     8.5262
  3.240     -4.045   0.0     8.4891
  3.250     -3.799   0.0     8.5071
  3.260     -3.660   0.0     8.5695
  3.270     -3.655   0.0     8.6392
  3.280     -3.792   0.0     8.6764
  3.290     -4.061   0.0     8.6616
  3.300     -4.433   0.0     8.6056
  3.310     -4.865   0.0     8.5433
  3.320     -5.302   0.0     8.5127
  3.330     -5.686   0.0     8.5320
  3.340     -5.962   0.0     8.5878
  3.350     -6.086   0.0     8.6446
  3.360     -6.031   0.0     8.6670
  3.370     -5.788   0.0     8.6412
  3.380     -5.374   0.0     8.5818
  3.390     -4.822   0.0     8.5246
  3.400     -4.182   0.0     8.5041
  3.410     -3.513   0.0     8.5332
  3.420     -2.875   0.0     8.5941
  3.430     -2.318   0.0     8.6504
  3.440     -1.882   0.0     8.6690
  3.450     -1.585   0.0     8.6398
  3.460     -1.424   0.0     8.5805
  3.470     -1.378   0.0     8.5265
  3.480     -1.405   0.0     8.5099
  3.490     -1.457   0.0     8.5398
  3.500     -1.480   0.0     8.5967
  3.510     -1.427   0.0     8.6454
  3.520     -1.264   0.0     8.6572
  3.530     -0.974   0.0     8.6260
  3.540     -0.560   0.0     8.5717
  3.550     -0.045   0.0     8.5284
  3.560      0.533   0.0     8.5231
  3.570      1.126   0.0     8.5593
  3.580      1.686   0.0     8.6143
  3.590      2.173   0.0     8.6543
  3.600      2.560   0.0     8.6550
  3.610      2.843   0.0     8.6156
  3.620      3.037   0.0     8.5595
  3.630      3.181   0.0     8.5203
  3.640      3.327   0.0     8.5216
  3.650      3.538   0.0     8.5619
  3.660      3.874   0.0     8.6159
  3.670      4.383   0.0     8.6506
  3.680      5.093   0.0     8.6457
  3.690      6.006   0.0     8.6047
  3.700      7.092   0.0     8.5533
  3.710      8.292   0.0     8.5237
  3.720      9.523   0.0     8.5349
  3.730     10.683   0.0     8.5800
  3.740     11.670   0.0     8.6312
  3.750     12.384   0.0     8.6568
  3.760     12.749   0.0     8.6410
  3.770     12.712   0.0     8.5927
  3.780     12.258   0.0     8.5409
  3.790     11.407   0.0     8.5177
  3.800     10.212   0.0     8.5380
  3.810      8.755   0.0     8.5901
  3.820      7.133   0.0     8.6424
  3.830      5.450   0.0     8.6636
  3.840      3.804   0.0     8.6405
  3.850      2.276   0.0     8.5862
  3.860      0.924   0.0     8.5324
  3.870     -0.221   0.0     8.5113
  3.880     -1.156   0.0     8.5356
  3.890     -1.901   0.0     8.5904
  3.900     -2.493   0.0     8.6425
  3.910     -2.973   0.0     8.6609
  3.920     -3.384   0.0     8.6347
  3.930     -3.756   0.0     8.5795
  3.940     -4.105   0.0     8.5280
  3.950     -4.427   0.0     8.5116
  3.960     -4.704   0.0     8.5404
  3.970     -4.903   0.0     8.5972
  3.980     -4.988   0.0     8.6485
  3.990     -4.927   0.0     8.6645
  4.000     -4.699   0.0     8.6366
  4.010     -4.303   0.0     8.5819
  4.020     -3.757   0.0     8.5328
  4.030     -3.106   0.0     8.5186
  4.040     -2.411   0.0     8.5466
  4.050     -1.744   0.0     8.5985
  4.060     -1.178   0.0     8.6418
  4.070     -0.776   0.0     8.6502
  4.080     -0.582   0.0     8.6188
  4.090     -0.609   0.0     8.5665
  4.100     -0.838   0.0     8.5254
  4.110     -1.214   0.0     8.5211
  4.120     -1.656   0.0     8.5565
  4.130     -2.060   0.0     8.6105
  4.140     -2.315   0.0     8.6510
  4.150     -2.319   0.0     8.6544
  4.160     -1.986   0.0     8.6193
  4.170     -1.267   0.0     8.5671
  4.180     -0.152   0.0     8.5293
  4.190      1.325   0.0     8.5284
  4.200      3.087   0.0     8.5642
  4.210      5.022   0.0     8.6137
  4.220      6.996   0.0     8.6460
  4.230      8.865   0.0     8.6411
  4.240     10.495   0.0     8.6017
  4.250     11.773   0.0     8.5514
  4.260     12.620   0.0     8.5212
  4.270     13.000   0.0     8.5300
  4.280     12.919   0.0     8.5730
  4.290     12.426   0.0     8.6243
  4.300     11.599   0.0     8.6533
  4.310     10.541   0.0     8.6427
  4.320      9.358   0.0     8.5990
  4.330      8.151   0.0     8.5485
  4.340      7.001   0.0     8.5222
  4.350      5.962   0.0     8.5368
  4.360      5.058   0.0     8.5841
  4.370      4.280   0.0     8.6358
  4.380      3.594   0.0     8.6609
  4.390      2.953   0.0     8.6441
  4.400      2.298   0.0     8.5939
  4.410      1.580   0.0     8.5387
  4.420      0.764   0.0     8.5100
  4.430     -0.165   0.0     8.5241
  4.440     -1.195   0.0     8.5720
  4.450     -2.290   0.0     8.6254
  4.460     -3.396   0.0     8.6543
  4.470     -4.447   0.0     8.6439
  4.480     -5.379   0.0     8.6025
  4.490     -6.132   0.0     8.5561
  4.500     -6.669   0.0     8.5326
  4.510     -6.975   0.0     8.5453
  4.520     -7.062   0.0     8.5846
  4.530     -6.968   0.0     8.6249
  4.540     -6.750   0.0     8.6412
  4.550     -6.479   0.0     8.6236
  4.560     -6.227   0.0     8.5832
  4.570     -6.059   0.0     8.5452
  4.580     -6.023   0.0     8.5332
  4.590     -6.143   0.0     8.5545
  4.600     -6.419   0.0     8.5958
  4.610     -6.826   0.0     8.6313
  4.620     -7.317   0.0     8.6393
  4.630     -7.834   0.0     8.6147
  4.640     -8.315   0.0     8.5727
  4.650     -8.703   0.0     8.5391
  4.660     -8.955   0.0     8.5350
  4.670     -9.050   0.0     8.5636
  4.680     -8.988   0.0     8.6077
  4.690     -8.792   0.0     8.6408
  4.700     -8.503   0.0     8.6431
  4.710     -8.170   0.0     8.6131
  4.720     -7.848   0.0     8.5687
  4.730     -7.582   0.0     8.5363
  4.740     -7.402   0.0     8.5354
  4.750     -7.318   0.0     8.5661
  4.760     -7.315   0.0     8.6091
  4.770     -7.357   0.0     8.6383
  4.780     -7.387   0.0     8.6362
  4.790     -7.338   0.0     8.6044
  4.800     -7.140   0.0     8.5625
  4.810     -6.730   0.0     8.5365
  4.820     -6.060   0.0     8.5427
  4.830     -5.104   0.0     8.5777
  4.840     -3.861   0.0     8.6203
  4.850     -2.359   0.0     8.6445
  4.860     -0.646   0.0     8.6358
  4.870      1.207   0.0     8.5991
  4.880      3.119   0.0     8.5561
  4.890      5.008   0.0     8.5323
  4.900      6.794   0.0     8.5418
  4.910      8.409   0.0     8.5781
  4.920      9.803   0.0     8.6185
  4.930     10.942   0.0     8.6380
  4.940     11.814   0.0     8.6247
  4.950     12.422   0.0     8.5864
  4.960     12.784   0.0     8.5464
  4.970     12.925   0.0     8.5296
  4.980     12.878   0.0     8.5469
  4.990     12.674   0.0     8.5889
  5.000     12.346   0.0     8.6308
  5.010     11.923   0.0     8.6483
  5.020     11.431   0.0     8.6316
  5.030     10.895   0.0     8.5908
  5.040     10.340   0.0     8.5502
  5.050      9.791   0.0     8.5341
  5.060      9.270   0.0     8.5516
  5.070      8.802   0.0     8.5910
  5.080      8.405   0.0     8.6280
  5.090      8.092   0.0     8.6399
  5.100      7.866   0.0     8.6196
  5.110      7.715   0.0     8.5793
  5.120      7.617   0.0     8.5438
  5.130      7.530   0.0     8.5347
  5.140      7.405   0.0     8.5579
  5.150      7.182   0.0     8.5991
  5.160      6.800   0.0     8.6332
  5.170      6.207   0.0     8.6395
  5.180      5.363   0.0     8.6142
  5.190      4.253   0.0     8.5722
  5.200      2.886   0.0     8.5390
  5.210      1.303   0.0     8.5348
  5.220     -0.428   0.0     8.5624
  5.230     -2.215   0.0     8.6051
  5.240     -3.951   0.0     8.6372
  5.250     -5.528   0.0     8.6397
  5.260     -6.842   0.0     8.6114
  5.270     -7.814   0.0     8.5695
  5.280     -8.392   0.0     8.5398
  5.290     -8.563   0.0     8.5408
  5.300     -8.352   0.0     8.5723
  5.310     -7.820   0.0     8.6152
  5.320     -7.059   0.0     8.6432
  5.330     -6.178   0.0     8.6387
  5.340     -5.293   0.0     8.6029
  5.350     -4.510   0.0     8.5555
  5.360     -3.915   0.0     8.5238
  5.370     -3.563   0.0     8.5261
  5.380     -3.471   0.0     8.5613
  5.390     -3.622   0.0     8.6091
  5.400     -3.963   0.0     8.6428
  5.410     -4.421   0.0     8.6448
  5.420     -4.910   0.0     8.6159
  5.430     -5.344   0.0     8.5747
  5.440     -5.656   0.0     8.5461
  5.450     -5.801   0.0     8.5466
  5.460     -5.767   0.0     8.5743
  5.470     -5.576   0.0     8.6108
  5.480     -5.277   0.0     8.6330
  5.490     -4.942   0.0     8.6273
  5.500     -4.653   0.0     8.5972
  5.510     -4.488   0.0     8.5610
  5.520     -4.505   0.0     8.5409
  5.530     -4.738   0.0     8.5491
  5.540     -5.183   0.0     8.5801
  5.550     -5.803   0.0     8.6148
  5.560     -6.524   0.0     8.6320
  5.570     -7.253   0.0     8.6218
  5.580     -7.883   0.0     8.5905
  5.590     -8.311   0.0     8.5576
  5.600     -8.455   0.0     8.5431
  5.610     -8.265   0.0     8.5556
  5.620     -7.730   0.0     8.5868
  5.630     -6.884   0.0     8.6170
  5.640     -5.802   0.0     8.6274
  5.650     -4.593   0.0     8.6116
  5.660     -3.385   0.0     8.5796
  5.670     -2.309   0.0     8.5518
  5.680     -1.481   0.0     8.5462
  5.690     -0.991   0.0     8.5674
  5.700     -0.884   0.0     8.6033
  5.710     -1.162   0.0     8.6324
  5.720     -1.775   0.0     8.6371
  5.730     -2.633   0.0     8.6140
  5.740     -3.618   0.0     8.5761
  5.750     -4.596   0.0     8.5455
  5.760     -5.436   0.0     8.5399
  5.770     -6.028   0.0     8.5621
  5.780     -6.297   0.0     8.5980
  5.790     -6.209   0.0     8.6257
  5.800     -5.778   0.0     8.6289
  5.810     -5.062   0.0     8.6060
  5.820     -4.152   0.0     8.5715
  5.830     -3.160   0.0     8.5470
  5.840     -2.203   0.0     8.5478
  5.850     -1.385   0.0     8.5737
  5.860     -0.786   0.0     8.6088
  5.870     -0.447   0.0     8.6317
  5.880     -0.368   0.0     8.6281
  5.890     -0.511   0.0     8.6002
  5.900     -0.801   0.0     8.5645
  5.910     -1.143   0.0     8.5429
  5.920     -1.435   0.0     8.5489
  5.930     -1.583   0.0     8.5790
  5.940     -1.515   0.0     8.6152
  5.950     -1.192   0.0     8.6354
  5.960     -0.614   0.0     8.6274
  5.970      0.179   0.0     8.5956
  5.980      1.117   0.0     8.5588
  5.990      2.106   0.0     8.5391
  6.000      3.043   0.0     8.5483
  6.010      3.834   0.0     8.5807
  6.020      4.404   0.0     8.6165
  6.030      4.711   0.0     8.6340
  6.040      4.753   0.0     8.6225
  6.050      4.564   0.0     8.5888
  6.060      4.216   0.0     8.5531
  6.070      3.806   0.0     8.5373
  6.080      3.440   0.0     8.5515
  6.090      3.222   0.0     8.5875
  6.100      3.234   0.0     8.6242
  6.110      3.529   0.0     8.6397
  6.120      4.119   0.0     8.6251
  6.130      4.971   0.0     8.5887
  6.140      6.014   0.0     8.5520
  6.150      7.142   0.0     8.5365
  6.160      8.232   0.0     8.5513
  6.170      9.154   0.0     8.5869
  6.180      9.791   0.0     8.6217
  6.190     10.048   0.0     8.6351
  6.200      9.870   0.0     8.6196
  6.210      9.242   0.0     8.5851
  6.220      8.192   0.0     8.5527
  6.230      6.786   0.0     8.5425
  6.240      5.122   0.0     8.5609
  6.250      3.313   0.0     8.5967
  6.260      1.478   0.0     8.6278
  6.270     -0.276   0.0     8.6352
  6.280     -1.859   0.0     8.6139
  6.290     -3.211   0.0     8.5759
  6.300     -4.302   0.0     8.5437
  6.310     -5.133   0.0     8.5366
  6.320     -5.724   0.0     8.5593
  6.330     -6.117   0.0     8.5985
  6.340     -6.353   0.0     8.6316
  6.350     -6.473   0.0     8.6394
  6.360     -6.502   0.0     8.6179
  6.370     -6.446   0.0     8.5796
  6.380     -6.292   0.0     8.5468
  6.390     -6.008   0.0     8.5381
  6.400     -5.548   0.0     8.5579
  6.410     -4.861   0.0     8.5936
  6.420     -3.903   0.0     8.6241
  6.430     -2.641   0.0     8.6325
  6.440     -1.068   0.0     8.6155
  6.450      0.796   0.0     8.5849
  6.460      2.902   0.0     8.5599
  6.470      5.170   0.0     8.5553
  6.480      7.501   0.0     8.5727
  6.490      9.778   0.0     8.5994
  6.500     11.882   0.0     8.6174
  6.510     13.701   0.0     8.6146
  6.520     15.140   0.0     8.5922
  6.530     16.129   0.0     8.5643
  6.540     16.631   0.0     8.5488
  6.550     16.639   0.0     8.5565
