  r          G(r)    dr      dG(r)
  4.820     -5.402   0.0     0.3859
  4.830     -4.650   0.0     0.3875
  4.840     -3.623   0.0     0.3895
  4.850     -2.335   0.0     0.3907
  4.860     -0.820   0.0     0.3905
  4.870      0.863   0.0     0.3889
  4.880      2.641   0.0     0.3869
  4.890      4.430   0.0     0.3858
  4.900      6.141   0.0     0.3862
  4.910      7.692   0.0     0.3878
  4.920      9.010   0.0     0.3897
  4.930     10.043   0.0     0.3907
  4.940     10.761   0.0     0.3901
  4.950     11.158   0.0     0.3884
  4.960     11.254   0.0     0.3865
  4.970     11.087   0.0     0.3857
  4.980     10.717   0.0     0.3864
  4.990     10.210   0.0     0.3884
  5.000      9.637   0.0     0.3903
  5.010      9.067   0.0     0.3912
  5.020      8.557   0.0     0.3904
  5.030      8.151   0.0     0.3885
  5.040      7.873   0.0     0.3865
  5.050      7.729   0.0     0.3857
  5.060      7.705   0.0     0.3865
  5.070      7.771   0.0     0.3884
  5.080      7.885   0.0     0.3902
  5.090      7.996   0.0     0.3908
  5.100      8.050   0.0     0.3898
  5.110      7.997   0.0     0.3879
  5.120      7.792   0.0     0.3861
  5.130      7.406   0.0     0.3856
  5.140      6.818   0.0     0.3867
  5.150      6.027   0.0     0.3887
  5.160      5.045   0.0     0.3904
  5.170      3.902   0.0     0.3909
  5.180      2.636   0.0     0.3898
  5.190      1.297   0.0     0.3879
  5.200     -0.060   0.0     0.3862
  5.210     -1.381   0.0     0.3859
  5.220     -2.612   0.0     0.3870
  5.230     -3.708   0.0     0.3889
  5.240     -4.634   0.0     0.3904
  5.250     -5.366   0.0     0.3906
  5.260     -5.896   0.0     0.3895
  5.270     -6.230   0.0     0.3876
  5.280     -6.386   0.0     0.3862
  5.290     -6.395   0.0     0.3861
  5.300     -6.293   0.0     0.3874
  5.310     -6.125   0.0     0.3894
  5.320     -5.932   0.0     0.3908
  5.330     -5.752   0.0     0.3907
  5.340     -5.618   0.0     0.3892
  5.350     -5.551   0.0     0.3872
  5.360     -5.560   0.0     0.3857
  5.370     -5.643   0.0     0.3857
  5.380     -5.789   0.0     0.3871
  5.390     -5.976   0.0     0.3892
  5.400     -6.181   0.0     0.3907
  5.410     -6.378   0.0     0.3907
  5.420     -6.545   0.0     0.3895
  5.430     -6.667   0.0     0.3876
  5.440     -6.737   0.0     0.3863
  5.450     -6.760   0.0     0.3864
  5.460     -6.749   0.0     0.3876
  5.470     -6.726   0.0     0.3893
  5.480     -6.715   0.0     0.3904
  5.490     -6.742   0.0     0.3902
  5.500     -6.828   0.0     0.3888
  5.510     -6.986   0.0     0.3872
  5.520     -7.216   0.0     0.3862
  5.530     -7.508   0.0     0.3865
  5.540     -7.835   0.0     0.3879
  5.550     -8.164   0.0     0.3895
  5.560     -8.451   0.0     0.3904
  5.570     -8.652   0.0     0.3900
  5.580     -8.727   0.0     0.3886
  5.590     -8.644   0.0     0.3871
  5.600     -8.387   0.0     0.3864
  5.610     -7.956   0.0     0.3869
  5.620     -7.369   0.0     0.3882
  5.630     -6.662   0.0     0.3896
  5.640     -5.886   0.0     0.3901
  5.650     -5.099   0.0     0.3895
  5.660     -4.362   0.0     0.3881
  5.670     -3.732   0.0     0.3868
  5.680     -3.255   0.0     0.3864
  5.690     -2.959   0.0     0.3873
  5.700     -2.855   0.0     0.3888
  5.710     -2.931   0.0     0.3901
  5.720     -3.157   0.0     0.3903
  5.730     -3.490   0.0     0.3894
  5.740     -3.874   0.0     0.3879
  5.750     -4.252   0.0     0.3866
  5.760     -4.572   0.0     0.3864
  5.770     -4.793   0.0     0.3873
  5.780     -4.887   0.0     0.3889
  5.790     -4.845   0.0     0.3900
  5.800     -4.676   0.0     0.3901
  5.810     -4.404   0.0     0.3890
  5.820     -4.066   0.0     0.3874
  5.830     -3.703   0.0     0.3864
  5.840     -3.356   0.0     0.3864
  5.850     -3.062   0.0     0.3877
  5.860     -2.844   0.0     0.3893
  5.870     -2.714   0.0     0.3904
  5.880     -2.665   0.0     0.3902
  5.890     -2.681   0.0     0.3889
  5.900     -2.731   0.0     0.3873
  5.910     -2.782   0.0     0.3862
  5.920     -2.797   0.0     0.3864
  5.930     -2.744   0.0     0.3878
  5.940     -2.602   0.0     0.3895
  5.950     -2.359   0.0     0.3905
  5.960     -2.017   0.0     0.3902
  5.970     -1.590   0.0     0.3888
  5.980     -1.100   0.0     0.3871
  5.990     -0.575   0.0     0.3862
  6.000     -0.042   0.0     0.3865
  6.010      0.475   0.0     0.3879
  6.020      0.961   0.0     0.3895
  6.030      1.413   0.0     0.3903
  6.040      1.836   0.0     0.3899
  6.050      2.248   0.0     0.3884
  6.060      2.673   0.0     0.3869
  6.070      3.138   0.0     0.3861
  6.080      3.666   0.0     0.3866
  6.090      4.274   0.0     0.3882
  6.100      4.969   0.0     0.3898
  6.110      5.743   0.0     0.3906
  6.120      6.573   0.0     0.3900
  6.130      7.423   0.0     0.3885
  6.140      8.250   0.0     0.3869
  6.150      9.002   0.0     0.3862
  6.160      9.630   0.0     0.3867
  6.170     10.090   0.0     0.3881
  6.180     10.347   0.0     0.3896
  6.190     10.384   0.0     0.3902
  6.200     10.198   0.0     0.3896
  6.210      9.801   0.0     0.3882
  6.220      9.220   0.0     0.3868
  6.230      8.492   0.0     0.3864
  6.240      7.657   0.0     0.3871
  6.250      6.759   0.0     0.3886
  6.260      5.835   0.0     0.3899
  6.270      4.914   0.0     0.3902
  6.280      4.017   0.0     0.3894
  6.290      3.155   0.0     0.3878
  6.300      2.328   0.0     0.3865
  6.310      1.535   0.0     0.3862
  6.320      0.770   0.0     0.3871
  6.330      0.033   0.0     0.3887
  6.340     -0.672   0.0     0.3901
  6.350     -1.329   0.0     0.3904
  6.360     -1.913   0.0     0.3895
  6.370     -2.392   0.0     0.3880
  6.380     -2.723   0.0     0.3868
  6.390     -2.864   0.0     0.3865
  6.400     -2.776   0.0     0.3873
  6.410     -2.425   0.0     0.3887
  6.420     -1.795   0.0     0.3898
  6.430     -0.885   0.0     0.3900
  6.440      0.283   0.0     0.3891
  6.450      1.670   0.0     0.3877
  6.460      3.214   0.0     0.3868
  6.470      4.841   0.0     0.3868
  6.480      6.468   0.0     0.3878
  6.490      8.007   0.0     0.3891
  6.500      9.376   0.0     0.3899
  6.510     10.502   0.0     0.3896
  6.520     11.330   0.0     0.3885
  6.530     11.821   0.0     0.3872
  6.540     11.961   0.0     0.3865
  6.550     11.756   0.0     0.3869
  6.560     11.230   0.0     0.3882
  6.570     10.425   0.0     0.3897
  6.580      9.392   0.0     0.3904
  6.590      8.191   0.0     0.3900
  6.600      6.882   0.0     0.3886
  6.610      5.521   0.0     0.3872
  6.620      4.161   0.0     0.3864
  6.630      2.844   0.0     0.3869
  6.640      1.604   0.0     0.3882
  6.650      0.467   0.0     0.3895
  6.660     -0.553   0.0     0.3901
  6.670     -1.447   0.0     0.3895
  6.680     -2.211   0.0     0.3882
  6.690     -2.847   0.0     0.3868
  6.700     -3.359   0.0     0.3863
  6.710     -3.754   0.0     0.3870
  6.720     -4.038   0.0     0.3885
  6.730     -4.221   0.0     0.3899
  6.740     -4.314   0.0     0.3904
  6.750     -4.328   0.0     0.3896
  6.760     -4.278   0.0     0.3881
  6.770     -4.178   0.0     0.3867
  6.780     -4.045   0.0     0.3862
  6.790     -3.895   0.0     0.3870
  6.800     -3.745   0.0     0.3886
  6.810     -3.608   0.0     0.3900
  6.820     -3.496   0.0     0.3904
  6.830     -3.416   0.0     0.3896
  6.840     -3.371   0.0     0.3880
  6.850     -3.361   0.0     0.3866
  6.860     -3.377   0.0     0.3863
  6.870     -3.410   0.0     0.3871
  6.880     -3.445   0.0     0.3886
  6.890     -3.463   0.0     0.3900
  6.900     -3.446   0.0     0.3904
  6.910     -3.375   0.0     0.3896
  6.920     -3.233   0.0     0.3882
  6.930     -3.003   0.0     0.3869
  6.940     -2.676   0.0     0.3865
  6.950     -2.244   0.0     0.3872
  6.960     -1.708   0.0     0.3885
