# gr.py output, gr.py by Lukasz Cwiklik, cwiklik<at>gmail.com
# radial distribution function for atoms: K and K
# periodic boundary conditions used (box size: 77.9756 x 67.5288 x 9.04)
# number of analyzed time frames: 1
#r                  G(r)_norm           g(r)_unnonorm       g(r)_unnorm_cumsum  
4.95000             -26.90899           0.00000             35136.00000         
4.97000             -26.08748           2.00000             35424.00000         
4.99000             -27.12644           0.00000             35424.00000         
5.01000             -27.23516           0.00000             35424.00000         
5.03000             -27.34388           0.00000             35424.00000         
5.05000             -26.53711           2.00000             35712.00000         
5.07000             -27.56133           0.00000             35712.00000         
5.09000             -27.67005           0.00000             35712.00000         
5.11000             -26.87403           2.00000             36000.00000         
5.13000             -27.88750           0.00000             36000.00000         
5.15000             -27.99622           0.00000             36000.00000         
5.17000             -28.10495           0.00000             36000.00000         
5.19000             -28.21367           0.00000             36000.00000         
5.21000             -28.32239           0.00000             36000.00000         
5.23000             -28.43112           0.00000             36000.00000         
5.25000             -27.65922           2.00000             36288.00000         
5.27000             -28.64856           0.00000             36288.00000         
5.29000             -28.75728           0.00000             36288.00000         
5.31000             -28.86601           0.00000             36288.00000         
5.33000             -28.97473           0.00000             36288.00000         
5.35000             -29.08345           0.00000             36288.00000         
5.37000             -29.19218           0.00000             36288.00000         
5.39000             -29.30090           0.00000             36288.00000         
5.41000             -29.40962           0.00000             36288.00000         
5.43000             -29.51835           0.00000             36288.00000         
5.45000             -29.62707           0.00000             36288.00000         
5.47000             -29.73579           0.00000             36288.00000         
5.49000             -29.00239           2.00000             36576.00000         
5.51000             -29.95324           0.00000             36576.00000         
5.53000             -30.06196           0.00000             36576.00000         
5.55000             -30.17069           0.00000             36576.00000         
5.57000             -29.44938           2.00000             36864.00000         
5.59000             -29.56107           2.00000             37152.00000         
5.61000             -30.49686           0.00000             37152.00000         
5.63000             -29.78440           2.00000             37440.00000         
5.65000             -30.71430           0.00000             37440.00000         
5.67000             -30.82303           0.00000             37440.00000         
5.69000             -30.11923           2.00000             37728.00000         
5.71000             -31.04047           0.00000             37728.00000         
5.73000             -30.34234           2.00000             38016.00000         
5.75000             -30.45387           2.00000             38304.00000         
5.77000             -29.76413           4.00000             38880.00000         
5.79000             -30.67688           2.00000             39168.00000         
5.81000             -29.99261           4.00000             39744.00000         
5.83000             -30.89980           2.00000             40032.00000         
5.85000             -29.43064           6.00000             40896.00000         
5.87000             -30.33504           4.00000             41472.00000         
5.89000             -30.44912           4.00000             42048.00000         
5.91000             -31.34543           2.00000             42336.00000         
5.93000             -30.67715           4.00000             42912.00000         
5.95000             -30.01410           6.00000             43776.00000         
5.97000             -31.67946           2.00000             44064.00000         
5.99000             -29.47528           8.00000             45216.00000         
6.01000             -31.90206           2.00000             45504.00000         
6.03000             -32.78004           0.00000             45504.00000         
6.05000             -32.12459           2.00000             45792.00000         
6.07000             -32.23583           2.00000             46080.00000         
6.09000             -32.34706           2.00000             46368.00000         
6.11000             -30.18826           8.00000             47520.00000         
6.13000             -29.55265           10.00000            48960.00000         
6.15000             -28.92189           12.00000            50688.00000         
6.17000             -30.54386           8.00000             51840.00000         
6.19000             -28.42159           14.00000            53856.00000         
6.21000             -32.26958           4.00000             54432.00000         
6.23000             -30.89889           8.00000             55584.00000         
6.25000             -31.75684           6.00000             56448.00000         
6.27000             -33.34736           2.00000             56736.00000         
6.29000             -30.51836           10.00000            58176.00000         
6.31000             -32.83679           4.00000             58752.00000         
6.33000             -32.95015           4.00000             59328.00000         
6.35000             -32.33540           6.00000             60192.00000         
6.37000             -31.72520           8.00000             61344.00000         
6.39000             -33.29003           4.00000             61920.00000         
6.41000             -34.12453           2.00000             62208.00000         
6.43000             -32.07846           8.00000             63360.00000         
6.45000             -32.91288           6.00000             64224.00000         
6.47000             -30.16998           14.00000            66240.00000         
6.49000             -33.85595           4.00000             66816.00000         
6.51000             -30.41816           14.00000            68832.00000         
6.53000             -33.37412           6.00000             69696.00000         
6.55000             -33.48933           6.00000             70560.00000         
6.57000             -34.30819           4.00000             71136.00000         
6.59000             -34.42118           4.00000             71712.00000         
6.61000             -34.53415           4.00000             72288.00000         
6.63000             -33.94977           6.00000             73152.00000         
6.65000             -35.45524           2.00000             73440.00000         
6.67000             -36.25919           0.00000             73440.00000         
6.69000             -35.67684           2.00000             73728.00000         
6.71000             -34.40960           6.00000             74592.00000         
6.73000             -34.52447           6.00000             75456.00000         
6.75000             -31.89959           14.00000            77472.00000         
6.77000             -35.43700           4.00000             78048.00000         
6.79000             -34.86885           6.00000             78912.00000         
6.81000             -32.94690           12.00000            80640.00000         
6.83000             -33.74445           10.00000            82080.00000         
6.85000             -34.53798           8.00000             83232.00000         
6.87000             -37.34642           0.00000             83232.00000         
6.89000             -33.42909           12.00000            84960.00000         
6.91000             -36.22573           4.00000             85536.00000         
6.93000             -31.00123           20.00000            88416.00000         
6.95000             -35.78566           6.00000             89280.00000         
6.97000             -37.22673           2.00000             89568.00000         
6.99000             -36.01453           6.00000             90432.00000         
7.01000             -32.83130           16.00000            92736.00000         
7.03000             -36.90091           4.00000             93312.00000         
7.05000             -38.32493           0.00000             93312.00000         
7.07000             -35.81795           8.00000             94464.00000         
7.09000             -36.58613           6.00000             95328.00000         
7.11000             -35.39986           10.00000            96768.00000         
7.13000             -35.51771           10.00000            98208.00000         
7.15000             -34.98889           12.00000            99936.00000         
7.17000             -36.39804           8.00000             101088.00000        
7.19000             -36.51394           8.00000             102240.00000        
7.21000             -35.98857           10.00000            103680.00000        
7.23000             -38.66398           2.00000             103968.00000        
7.25000             -38.77447           2.00000             104256.00000        
7.27000             -37.61307           6.00000             105120.00000        
7.29000             -38.36122           4.00000             105696.00000        
7.31000             -38.47342           4.00000             106272.00000        
7.33000             -38.58559           4.00000             106848.00000        
7.35000             -38.06873           6.00000             107712.00000        
7.37000             -38.18258           6.00000             108576.00000        
7.39000             -38.29639           6.00000             109440.00000        
7.41000             -37.16234           10.00000            110880.00000        
7.43000             -39.14618           4.00000             111456.00000        
7.45000             -40.49939           0.00000             111456.00000        
7.47000             -39.37029           4.00000             112032.00000        
7.49000             -38.86507           6.00000             112896.00000        
7.51000             -39.59433           4.00000             113472.00000        
7.53000             -40.32030           2.00000             113760.00000        
7.55000             -39.20595           6.00000             114624.00000        
7.57000             -39.93026           4.00000             115200.00000        
7.59000             -40.04220           4.00000             115776.00000        
7.61000             -40.15413           4.00000             116352.00000        
7.63000             -39.66011           6.00000             117216.00000        
7.65000             -40.37793           4.00000             117792.00000        
7.67000             -41.09257           2.00000             118080.00000        
7.69000             -41.20286           2.00000             118368.00000        
7.71000             -40.71350           4.00000             118944.00000        
7.73000             -40.22724           6.00000             119808.00000        
7.75000             -41.53369           2.00000             120096.00000        
7.77000             -41.04893           4.00000             120672.00000        
7.79000             -42.34768           0.00000             120672.00000        
7.81000             -42.45641           0.00000             120672.00000        
7.83000             -42.56513           0.00000             120672.00000        
7.85000             -42.08490           2.00000             120960.00000        
7.87000             -42.19512           2.00000             121248.00000        
7.89000             -42.89130           0.00000             121248.00000        
7.91000             -42.41554           2.00000             121536.00000        
7.93000             -42.52574           2.00000             121824.00000        
7.95000             -43.21747           0.00000             121824.00000        
7.97000             -42.16603           4.00000             122400.00000        
7.99000             -42.85629           2.00000             122688.00000        
8.01000             -42.38927           4.00000             123264.00000        
8.03000             -42.50087           4.00000             123840.00000        
8.05000             -43.18677           2.00000             124128.00000        
8.07000             -43.86981           0.00000             124128.00000        
8.09000             -42.83558           4.00000             124704.00000        
8.11000             -43.51719           2.00000             124992.00000        
8.13000             -43.62731           2.00000             125280.00000        
8.15000             -43.73743           2.00000             125568.00000        
8.17000             -43.84754           2.00000             125856.00000        
8.19000             -44.52215           0.00000             125856.00000        
8.21000             -44.63087           0.00000             125856.00000        
8.23000             -44.73959           0.00000             125856.00000        
8.25000             -44.84832           0.00000             125856.00000        
8.27000             -44.39800           2.00000             126144.00000        
8.29000             -44.50807           2.00000             126432.00000        
8.31000             -45.17449           0.00000             126432.00000        
8.33000             -44.72820           2.00000             126720.00000        
8.35000             -45.39193           0.00000             126720.00000        
8.37000             -44.94830           2.00000             127008.00000        
8.39000             -44.50729           4.00000             127584.00000        
8.41000             -45.16837           2.00000             127872.00000        
8.43000             -45.27840           2.00000             128160.00000        
8.45000             -44.84129           4.00000             128736.00000        
8.47000             -46.04427           0.00000             128736.00000        
8.49000             -46.15300           0.00000             128736.00000        
8.51000             -46.26172           0.00000             128736.00000        
8.53000             -46.37044           0.00000             128736.00000        
8.55000             -45.93843           2.00000             129024.00000        
8.57000             -46.04842           2.00000             129312.00000        
8.59000             -46.69661           0.00000             129312.00000        
8.61000             -46.80533           0.00000             129312.00000        
8.63000             -46.91406           0.00000             129312.00000        
8.65000             -47.02278           0.00000             129312.00000        
8.67000             -47.13150           0.00000             129312.00000        
8.69000             -47.24023           0.00000             129312.00000        
8.71000             -46.28735           4.00000             129888.00000        
8.73000             -46.92809           2.00000             130176.00000        
8.75000             -47.56640           0.00000             130176.00000        
8.77000             -47.14795           2.00000             130464.00000        
8.79000             -47.78384           0.00000             130464.00000        
8.81000             -47.36779           2.00000             130752.00000        
8.83000             -48.00129           0.00000             130752.00000        
8.85000             -47.58761           2.00000             131040.00000        
8.87000             -48.21874           0.00000             131040.00000        
8.89000             -47.28736           4.00000             131616.00000        
8.91000             -47.91730           2.00000             131904.00000        
8.93000             -48.02718           2.00000             132192.00000        
8.95000             -47.62050           4.00000             132768.00000        
8.97000             -48.76235           0.00000             132768.00000        
8.99000             -47.32828           6.00000             133632.00000        
9.01000             -48.97980           0.00000             133632.00000        
9.03000             -48.57653           2.00000             133920.00000        
9.05000             -49.19725           0.00000             133920.00000        
9.07000             -49.30597           0.00000             133920.00000        
9.09000             -49.41469           0.00000             133920.00000        
9.11000             -49.01592           2.00000             134208.00000        
9.13000             -48.61938           4.00000             134784.00000        
9.15000             -49.23559           2.00000             135072.00000        
9.17000             -49.34541           2.00000             135360.00000        
9.19000             -49.45523           2.00000             135648.00000        
9.21000             -48.56109           6.00000             136512.00000        
9.23000             -48.67307           6.00000             137376.00000        
9.25000             -47.28561           12.00000            139104.00000        
9.27000             -48.39827           8.00000             140256.00000        
9.29000             -49.00895           6.00000             141120.00000        
9.31000             -48.12770           10.00000            142560.00000        
9.33000             -49.72832           4.00000             143136.00000        
9.35000             -49.34470           6.00000             144000.00000        
9.37000             -48.96318           8.00000             145152.00000        
9.39000             -48.58374           10.00000            146592.00000        
9.41000             -49.68032           6.00000             147456.00000        
9.43000             -48.81163           10.00000            148896.00000        
9.45000             -49.90401           6.00000             149760.00000        
9.47000             -50.01583           6.00000             150624.00000        
9.49000             -50.61481           4.00000             151200.00000        
9.51000             -50.72559           4.00000             151776.00000        
9.53000             -50.35122           6.00000             152640.00000        
9.55000             -50.46299           6.00000             153504.00000        
9.57000             -49.12546           12.00000            155232.00000        
9.59000             -50.68650           6.00000             156096.00000        
9.61000             -51.27932           4.00000             156672.00000        
9.63000             -48.98960           14.00000            158688.00000        
9.65000             -51.97985           2.00000             158976.00000        
9.67000             -50.65525           8.00000             160128.00000        
9.69000             -50.76792           8.00000             161280.00000        
9.71000             -52.30898           2.00000             161568.00000        
9.73000             -50.51806           10.00000            163008.00000        
9.75000             -51.10584           8.00000             164160.00000        
9.77000             -52.16486           4.00000             164736.00000        
9.79000             -51.80328           6.00000             165600.00000        
9.81000             -49.55849           16.00000            167904.00000        
9.83000             -52.49681           4.00000             168480.00000        
9.85000             -52.60744           4.00000             169056.00000        
9.87000             -52.24965           6.00000             169920.00000        
9.89000             -51.42628           10.00000            171360.00000        
9.91000             -52.47277           6.00000             172224.00000        
9.93000             -52.58431           6.00000             173088.00000        
9.95000             -53.62514           2.00000             173376.00000        
9.97000             -53.73480           2.00000             173664.00000        
9.99000             -53.84445           2.00000             173952.00000        
10.01000            -51.18291           14.00000            175968.00000        
10.03000            -52.68091           8.00000             177120.00000        
10.05000            -52.79330           8.00000             178272.00000        
10.07000            -53.36479           6.00000             179136.00000        
10.09000            -53.93445           4.00000             179712.00000        
10.11000            -53.58769           6.00000             180576.00000        
10.13000            -54.61191           2.00000             180864.00000        
10.15000            -52.44406           12.00000            182592.00000        
10.17000            -53.92195           6.00000             183456.00000        
10.19000            -54.94076           2.00000             183744.00000        
10.21000            -53.69193           8.00000             184896.00000        
10.23000            -54.70805           4.00000             185472.00000        
10.25000            -53.91644           8.00000             186624.00000        
10.27000            -54.02868           8.00000             187776.00000        
10.29000            -54.59020           6.00000             188640.00000        
10.31000            -55.14996           4.00000             189216.00000        
10.33000            -55.26042           4.00000             189792.00000        
10.35000            -54.92418           6.00000             190656.00000        
10.37000            -55.03549           6.00000             191520.00000        
10.39000            -55.59176           4.00000             192096.00000        
10.41000            -54.81396           8.00000             193248.00000        
10.43000            -55.81262           4.00000             193824.00000        
10.45000            -55.92304           4.00000             194400.00000        
10.47000            -55.15031           8.00000             195552.00000        
10.49000            -56.14386           4.00000             196128.00000        
10.51000            -55.37447           8.00000             197280.00000        
10.53000            -56.36465           4.00000             197856.00000        
10.55000            -56.03682           6.00000             198720.00000        
10.57000            -56.14803           6.00000             199584.00000        
10.59000            -56.25923           6.00000             200448.00000        
10.61000            -55.49893           10.00000            201888.00000        
10.63000            -54.30698           16.00000            204192.00000        
